PID,WEIGHT,VPSU,VSTRAT,SURVEYDATE,DURATION,AGE,RACETHNICITY,EDUC,EMPLOY,GENDER,HH01,HH25,HH612,HH1317,HH18OV,HHSIZE,INCOME,MARITAL,METRO,STATE,REGION9,Q1,Q2,Q3,Q3_rc,Q4,Q4_rc,Q5,Q6,Q7,Q8_1,Q8_2,Q9,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_2,Q16,Q17,Q20_1,Q20_1_rc,Q20_2,Q20_2_rc,Q21,Q21_rc
1000175,2.100693553,2,18,10/16/2019,8,48,4,12,2,1,0,0,0,0,7,6,14,5,1,CA,9,4,2,1,0:00:00,26,6:15:00,2,2,0,6,0,3,5,20,2,15,1,7,0,5,3,5,5,4,4,160,160
1000188,0.306790717,2,13,10/16/2019,3,39,4,10,7,2,0,0,0,0,2,2,6,6,1,CA,9,4,2,2,0:15:00,25,6:00:00,3,2,40,5,15,3,1,90,1,20,1,17,0,6,6,5,5,4,4,172,172
1000188,0.207060337,2,13,10/16/2019,3,39,4,10,7,2,0,0,0,0,2,2,6,6,1,CA,9,4,2,2,0:15:00,25,6:00:00,3,2,40,5,15,3,1,90,1,20,1,17,0,6,6,5,5,4,4,172,172
1000196,0.229859035,1,27,10/16/2019,5,43,1,12,1,1,0,0,0,0,1,1,10,5,1,MN,4,3,1,5,1:00:00,31,7:30:00,1,2,3,6,27,1,2,45,1,30,1,5,0,4,6,5,5,10,10,250,250
1000196,0.3113126,1,27,10/16/2019,5,43,1,12,1,1,0,0,0,0,1,1,10,5,1,MN,4,3,1,5,1:00:00,31,7:30:00,1,2,3,6,27,1,2,45,1,30,1,5,0,4,6,5,5,10,10,250,250
1000220,0.669673715,2,22,10/16/2019,2,30,6,12,2,2,0,0,2,0,2,4,13,1,1,GA,5,1,1,1,0:00:00,24,5:45:00,1,0,1,5,30,1,5,20,0,,2,4,98,2,1,5,5,2,2,163,163
1000220,0.363265734,2,22,10/16/2019,2,30,6,12,2,2,0,0,2,0,2,4,13,1,1,GA,5,1,1,1,0:00:00,24,5:45:00,1,0,1,5,30,1,5,20,0,,2,4,98,2,1,5,5,2,2,163,163
1000226,0.675958342,2,17,10/16/2019,6,68,1,12,5,1,0,0,0,0,2,2,16,1,1,NH,1,2,2,93,23:00:00,29,7:00:00,1,3,50,7,10,2,2,25,3,25,0,6,98,5,3,5,5,10,10,190,190
1000226,0.846036019,2,17,10/16/2019,6,68,1,12,5,1,0,0,0,0,2,2,16,1,1,NH,1,2,2,93,23:00:00,29,7:00:00,1,3,50,7,10,2,2,25,3,25,0,6,98,5,3,5,5,10,10,190,190
1000228,0.18185519,1,7,10/16/2019,6,37,1,11,1,1,0,0,0,0,1,1,5,5,1,ID,8,4,3,49,12:00:00,77,7:00:00,3,3,420,7,0,2,0,,0,,0,14,98,5,5,5,5,11,11,330,330
1000231,1.388031613,1,23,10/16/2019,4,39,6,13,1,1,0,2,0,0,2,4,14,1,1,FL,5,2,2,89,22:00:00,30,7:15:00,1,1,10,9,5,1,1,30,1,30,0,8,98,2,2,5,5,6,6,155,155
1000231,0.627391104,1,23,10/16/2019,4,39,6,13,1,1,0,2,0,0,2,4,14,1,1,FL,5,2,2,89,22:00:00,30,7:15:00,1,1,10,9,5,1,1,30,1,30,0,8,98,2,2,5,5,6,6,155,155
1000232,0.678580165,2,15,10/16/2019,6,25,4,12,1,1,0,0,0,0,5,5,13,5,1,IL,3,2,3,2,0:15:00,28,6:45:00,1,1,2,6,30,2,4,90,1,15,4,8,98,6,6,5,5,10,10,190,190
1000232,0.312607082,2,15,10/16/2019,6,25,4,12,1,1,0,0,0,0,5,5,13,5,1,IL,3,2,3,2,0:15:00,28,6:45:00,1,1,2,6,30,2,4,90,1,15,4,8,98,6,6,5,5,10,10,190,190
1000234,0.414350972,1,30,10/16/2019,5,61,1,13,1,1,0,0,0,0,1,1,10,5,1,SC,5,2,2,94,23:15:00,32,7:45:00,2,2,4,6,45,2,5,35,1,20,5,7,30,5,1,5,5,10,10,215,215
1000234,0.304247609,1,30,10/16/2019,5,61,1,13,1,1,0,0,0,0,1,1,10,5,1,SC,5,2,2,94,23:15:00,32,7:45:00,2,2,4,6,45,2,5,35,1,20,5,7,30,5,1,5,5,10,10,215,215
1000235,1.43833111,2,27,10/16/2019,6,26,2,9,7,1,0,0,0,5,2,6,7,5,1,MO,4,2,1,89,22:00:00,29,7:00:00,1,10,998,9,98,2,4,60,3,20,4,2,98,4,3,6,6,98,10,998,215
1000235,0.940185664,2,27,10/16/2019,6,26,2,9,7,1,0,0,0,5,2,6,7,5,1,MO,4,2,1,89,22:00:00,29,7:00:00,1,10,998,9,98,2,4,60,3,20,4,2,98,4,3,6,6,98,10,998,215
1000248,1.203655618,1,9,10/16/2019,8,56,5,10,1,1,0,0,0,0,3,3,15,1,0,AR,7,2,3,42,22:15:00,23,5:30:00,1,2,20,7,10,2,3,15,1,10,0,6,0,4,4,5,5,10,10,210,210
1000256,0.513476913,2,20,10/16/2019,7,62,1,12,1,1,0,0,0,0,3,3,15,1,1,NJ,2,4,1,87,21:30:00,23,5:30:00,1,1,39,7,20,2,4,60,0,,0,10,30,3,3,6,6,0,0,275,275
1000257,1.319862832,1,23,10/16/2019,7,38,5,12,1,2,0,0,0,1,2,4,13,6,1,FL,5,2,2,85,21:00:00,27,6:30:00,2,2,2,9,0,1,1,15,0,,0,7,0,3,1,5,5,7,7,215,215
1000257,1.274030049,1,23,10/16/2019,7,38,5,12,1,2,0,0,0,1,2,4,13,6,1,FL,5,2,2,85,21:00:00,27,6:30:00,2,2,2,9,0,1,1,15,0,,0,7,0,3,1,5,5,7,7,215,215
1000262,1.110140266,1,26,10/16/2019,5,52,6,12,1,1,0,0,0,1,4,5,14,1,1,AZ,8,1,2,95,23:30:00,33,8:00:00,1,2,5,8,0,1,3,60,3,60,3,12,98,4,2,5,5,7,7,165,165
1000270,0.666767619,2,3,10/16/2019,4,40,1,13,1,2,0,2,4,0,2,6,14,1,1,FL,5,2,1,91,22:30:00,21,5:00:00,2,2,30,6,5,2,4,40,2,30,4,5,30,2,2,5,5,11,11,190,190
1000270,0.730838832,2,3,10/16/2019,4,40,1,13,1,2,0,2,4,0,2,6,14,1,1,FL,5,2,1,91,22:30:00,21,5:00:00,2,2,30,6,5,2,4,40,2,30,4,5,30,2,2,5,5,11,11,190,190
1000279,0.175250215,2,27,10/16/2019,5,50,1,11,1,2,0,0,0,0,3,3,10,1,0,IA,4,3,2,92,22:45:00,25,6:00:00,2,1,60,6,10,2,3,30,0,,0,4,40,5,4,5,5,2,2,126,126
1000279,0.358041527,2,27,10/16/2019,5,50,1,11,1,2,0,0,0,0,3,3,10,1,0,IA,4,3,2,92,22:45:00,25,6:00:00,2,1,60,6,10,2,3,30,0,,0,4,40,5,4,5,5,2,2,126,126
1000297,0.46898085,1,26,10/16/2019,4,26,1,10,1,2,0,0,0,0,4,4,8,1,1,AZ,8,2,3,93,23:00:00,30,7:15:00,2,2,1,8,14,2,3,15,0,,0,8,0,7,7,5,5,6,6,998,126
1000304,0.656130907,1,5,10/16/2019,5,50,1,5,4,2,0,0,0,0,4,4,9,1,0,MI,3,3,2,93,23:00:00,27,6:30:00,2,3,15,7,15,2,1,30,0,,0,2,30,3,3,5,5,0,0,162,162
1000304,1.117284552,1,5,10/16/2019,5,50,1,5,4,2,0,0,0,0,4,4,9,1,0,MI,3,3,2,93,23:00:00,27,6:30:00,2,3,15,7,15,2,1,30,0,,0,2,30,3,3,5,5,0,0,162,162
1000334,0.619253314,2,17,10/16/2019,4,22,1,10,1,2,0,0,0,0,3,3,17,5,1,NH,1,2,1,89,22:00:00,23,5:30:00,2,0,0,7,30,2,1,60,1,60,0,12,0,2,1,5,5,3,3,130,130
1000348,0.779875647,1,6,10/16/2019,3,20,1,10,7,1,0,0,0,2,3,6,15,5,1,KS,4,3,2,6,1:15:00,37,9:00:00,1,1,10,8,5,2,5,60,5,65,1,5,30,4,5,5,5,9,9,170,170
1000349,0.837716571,1,13,10/16/2019,8,70,1,13,1,1,0,0,0,0,2,2,13,1,1,CA,9,2,3,91,22:30:00,22,5:15:00,2,3,35,6,15,2,4,240,2,45,3,3,30,2,3,5,5,9,9,162,162
1000349,0.631760846,1,13,10/16/2019,8,70,1,13,1,1,0,0,0,0,2,2,13,1,1,CA,9,2,3,91,22:30:00,22,5:15:00,2,3,35,6,15,2,4,240,2,45,3,3,30,2,3,5,5,9,9,162,162
1000353,0.551038074,2,7,10/16/2019,5,49,1,10,2,2,0,0,0,0,1,2,10,3,1,WA,9,3,3,94,23:15:00,26,6:15:00,2,3,20,6,98,2,5,40,3,30,5,5,98,3,2,5,5,2,2,155,155
1000359,0.813849416,2,14,10/16/2019,8,51,4,13,1,2,0,0,0,0,2,2,12,3,1,CA,9,2,1,1,0:00:00,25,6:00:00,2,1,5,5,55,2,3,70,4,90,5,8,0,3,4,5,5,3,3,126,126
1000359,1.235907477,2,14,10/16/2019,8,51,4,13,1,2,0,0,0,0,2,2,12,3,1,CA,9,2,1,1,0:00:00,25,6:00:00,2,1,5,5,55,2,3,70,4,90,5,8,0,3,4,5,5,3,3,126,126
1000360,0.22557427,1,28,10/16/2019,5,38,1,10,1,2,0,0,1,0,2,3,12,1,1,OH,3,3,3,95,23:30:00,29,7:00:00,1,2,30,8,0,2,3,15,1,5,0,6,0,3,2,5,5,5,5,196,196
1000361,1.163551031,1,13,10/16/2019,4,49,1,12,1,2,0,0,0,0,1,1,11,3,1,CA,9,2,2,2,0:15:00,26,6:15:00,1,0,0,5,98,2,1,20,1,20,0,5,98,6,1,5,5,4,4,90,90
1000372,0.810736564,1,6,10/16/2019,7,54,1,9,1,2,0,0,0,0,2,2,13,1,0,WI,3,2,3,88,21:45:00,16,3:45:00,1,2,10,5,40,2,5,45,2,30,0,3,98,2,1,5,5,3,3,145,145
1000372,2.613100765,1,6,10/16/2019,7,54,1,9,1,2,0,0,0,0,2,2,13,1,0,WI,3,2,3,88,21:45:00,16,3:45:00,1,2,10,5,40,2,5,45,2,30,0,3,98,2,1,5,5,3,3,145,145
1000379,0.625231382,1,20,10/16/2019,4,62,1,13,2,2,0,0,0,0,1,1,12,3,1,PA,2,1,1,93,23:00:00,31,7:30:00,1,0,0,8,30,1,7,45,0,,0,6,30,2,4,5,5,6,6,143,143
1000380,0.307318961,1,26,10/16/2019,5,30,1,12,1,1,0,0,0,0,3,3,13,1,1,UT,8,2,1,89,22:00:00,23,5:30:00,1,1,3,7,27,2,98,,,,2,5,0,3,1,6,6,0,0,220,220
1000381,1.636996807,2,17,10/16/2019,8,57,4,14,2,2,0,0,0,0,2,2,18,1,1,MA,1,1,1,4,0:45:00,31,7:30:00,1,1,2,6,45,1,6,90,3,45,5,4,98,1,1,5,5,5,5,140,140
1000381,1.874422066,2,17,10/16/2019,8,57,4,14,2,2,0,0,0,0,2,2,18,1,1,MA,1,1,1,4,0:45:00,31,7:30:00,1,1,2,6,45,1,6,90,3,45,5,4,98,1,1,5,5,5,5,140,140
1000389,0.304810059,1,13,10/16/2019,6,56,2,10,1,2,0,0,0,0,1,1,6,3,1,CA,9,3,2,91,22:30:00,25,6:00:00,1,1,0,7,30,2,2,15,1,60,1,7,0,5,5,5,5,5,5,200,200
1000392,0.305490972,2,24,10/16/2019,5,53,1,11,1,2,0,0,0,0,1,1,8,3,1,MI,3,2,1,3,0:30:00,32,7:45:00,1,2,4,7,15,2,3,30,1,15,1,7,30,5,2,5,5,3,3,160,160
1000392,0.53477598,2,24,10/16/2019,5,53,1,11,1,2,0,0,0,0,1,1,8,3,1,MI,3,2,1,3,0:30:00,32,7:45:00,1,2,4,7,15,2,3,30,1,15,1,7,30,5,2,5,5,3,3,160,160
1000399,1.278491369,2,3,10/16/2019,4,26,2,13,1,2,0,0,0,0,6,6,8,5,1,FL,5,2,1,10,2:15:00,27,6:30:00,1,6,9,3,46,3,77,,,,0,6,30,5,1,5,5,1,1,150,150
1000399,1.517511512,2,3,10/16/2019,4,26,2,13,1,2,0,0,0,0,6,6,8,5,1,FL,5,2,1,10,2:15:00,27,6:30:00,1,6,9,3,46,3,77,,,,0,6,30,5,1,5,5,1,1,150,150
1000404,0.346162754,2,6,10/16/2019,6,31,1,12,1,2,0,2,2,3,7,6,16,6,1,TX,7,2,1,92,22:45:00,23,5:30:00,2,2,30,5,30,2,6,120,5,90,2,2,15,5,3,5,5,10,10,165,165
1000404,0.505427201,2,6,10/16/2019,6,31,1,12,1,2,0,2,2,3,7,6,16,6,1,TX,7,2,1,92,22:45:00,23,5:30:00,2,2,30,5,30,2,6,120,5,90,2,2,15,5,3,5,5,10,10,165,165
1000417,0.178334446,1,8,10/16/2019,4,30,4,11,1,1,0,1,0,0,3,5,9,1,1,IL,3,3,1,91,22:30:00,29,7:00:00,2,3,20,8,98,2,3,30,3,30,1,5,98,2,2,98,5,98,10,998,165
1000417,0.204747868,1,8,10/16/2019,4,30,4,11,1,1,0,1,0,0,3,5,9,1,1,IL,3,3,1,91,22:30:00,29,7:00:00,2,3,20,8,98,2,3,30,3,30,1,5,98,2,2,98,5,98,10,998,165
1000425,0.912923486,2,5,10/16/2019,3,42,4,9,1,1,0,1,1,1,2,5,13,1,0,IL,3,2,3,22,5:15:00,42,10:15:00,3,5,12,5,0,3,5,60,0,,0,7,0,5,7,5,5,8,8,210,210
1000425,0.973358854,2,5,10/16/2019,3,42,4,9,1,1,0,1,1,1,2,5,13,1,0,IL,3,2,3,22,5:15:00,42,10:15:00,3,5,12,5,0,3,5,60,0,,0,7,0,5,7,5,5,8,8,210,210
1000436,0.355871142,1,27,10/16/2019,4,32,1,14,1,1,0,0,0,0,2,2,14,1,1,MN,4,1,3,89,22:00:00,28,6:45:00,1,2,2,8,20,2,4,50,1,30,4,6,98,3,1,6,6,0,0,168,168
1000436,0.223177895,1,27,10/16/2019,4,32,1,14,1,1,0,0,0,0,2,2,14,1,1,MN,4,1,3,89,22:00:00,28,6:45:00,1,2,2,8,20,2,4,50,1,30,4,6,98,3,1,6,6,0,0,168,168
1000443,1.136726848,2,10,10/16/2019,7,56,1,12,1,2,0,0,0,0,2,2,11,1,0,PA,2,2,2,94,23:15:00,21,5:00:00,1,5,45,5,0,2,1,60,0,,0,8,98,4,2,5,5,7,7,197,197
1000448,1.31683953,2,45,10/16/2019,6,59,1,12,7,2,0,0,0,0,2,2,15,1,1,NY,2,2,1,13,3:00:00,45,11:00:00,1,1,2,7,58,2,4,120,0,,0,2,0,4,5,5,5,3,3,120,120
1000448,1.995839359,2,45,10/16/2019,6,59,1,12,7,2,0,0,0,0,2,2,15,1,1,NY,2,2,1,13,3:00:00,45,11:00:00,1,1,2,7,58,2,4,120,0,,0,2,0,4,5,5,5,3,3,120,120
1000467,0.416860608,2,48,10/16/2019,4,57,1,11,1,2,0,0,0,0,1,2,14,1,0,MN,4,3,3,89,22:00:00,29,7:00:00,1,2,5,8,30,1,6,45,3,20,6,8,30,4,7,5,5,4,4,998,120
1000477,1.684861811,2,1,10/16/2019,7,45,1,9,1,1,0,0,0,0,2,2,12,1,0,NY,2,2,1,84,20:45:00,27,6:30:00,1,10,60,5,10,3,5,30,2,60,1,12,30,3,6,5,5,2,2,180,180
1000478,1.429543095,1,47,10/16/2019,5,36,1,9,7,2,0,0,0,0,1,4,10,1,1,OH,3,3,1,85,21:00:00,21,5:00:00,2,1,120,6,0,3,3,30,2,30,1,8,0,1,1,5,5,4,4,115,115
1000478,2.287730527,1,47,10/16/2019,5,36,1,9,7,2,0,0,0,0,1,4,10,1,1,OH,3,3,1,85,21:00:00,21,5:00:00,2,1,120,6,0,3,3,30,2,30,1,8,0,1,1,5,5,4,4,115,115
1000480,2.002210302,1,53,10/16/2019,5,32,4,9,4,1,0,0,0,0,2,2,2,3,1,CO,8,2,1,7,1:30:00,33,8:00:00,1,2,15,7,20,1,6,4,4,3,4,1,98,3,7,5,5,5,5,220,220
1000480,3.124543804,1,53,10/16/2019,5,32,4,9,4,1,0,0,0,0,2,2,2,3,1,CO,8,2,1,7,1:30:00,33,8:00:00,1,2,15,7,20,1,6,4,4,3,4,1,98,3,7,5,5,5,5,220,220
1000482,0.263708057,2,6,10/16/2019,5,56,1,10,1,1,0,0,0,0,6,6,16,1,1,TX,7,4,1,92,22:45:00,2,12:15:00,3,3,60,1,30,3,6,120,6,120,3,7,30,6,6,5,5,10,10,240,240
1000482,0.378592023,2,6,10/16/2019,5,56,1,10,1,1,0,0,0,0,6,6,16,1,1,TX,7,4,1,92,22:45:00,2,12:15:00,3,3,60,1,30,3,6,120,6,120,3,7,30,6,6,5,5,10,10,240,240
1000487,0.749219578,1,16,10/16/2019,7,68,1,12,5,1,0,0,4,0,3,6,17,1,1,MD,5,98,3,93,23:00:00,11,2:30:00,1,3,130,5,10,3,5,120,0,,0,5,30,5,2,5,5,7,7,175,175
1000487,1.08955294,1,16,10/16/2019,7,68,1,12,5,1,0,0,4,0,3,6,17,1,1,MD,5,98,3,93,23:00:00,11,2:30:00,1,3,130,5,10,3,5,120,0,,0,5,30,5,2,5,5,7,7,175,175
1000489,2.801986933,1,50,10/16/2019,5,46,1,9,1,1,0,0,0,0,1,6,9,1,1,VA,5,1,3,95,23:30:00,25,6:00:00,1,1,3,6,27,2,6,60,2,30,0,5,98,7,2,5,5,7,7,150,150
1000489,2.155371998,1,50,10/16/2019,5,46,1,9,1,1,0,0,0,0,1,6,9,1,1,VA,5,1,3,95,23:30:00,25,6:00:00,1,1,3,6,27,2,6,60,2,30,0,5,98,7,2,5,5,7,7,150,150
1000490,1.223007879,1,26,10/16/2019,8,68,1,8,5,1,0,0,0,0,1,1,4,5,1,AZ,8,3,3,41,22:00:00,21,5:00:00,1,4,30,6,30,2,7,60,0,,0,15,98,6,2,6,6,2,2,185,185
1000490,1.233316911,1,26,10/16/2019,8,68,1,8,5,1,0,0,0,0,1,1,4,5,1,AZ,8,3,3,41,22:00:00,21,5:00:00,1,4,30,6,30,2,7,60,0,,0,15,98,6,2,6,6,2,2,185,185
1000499,0.973136005,1,30,10/16/2019,4,63,1,12,5,1,0,0,0,0,1,1,11,2,1,NC,5,1,1,93,23:00:00,33,8:00:00,1,3,60,8,98,2,0,,0,,0,12,98,5,5,5,5,9,9,136,136
1000499,0.714549556,1,30,10/16/2019,4,63,1,12,5,1,0,0,0,0,1,1,11,2,1,NC,5,1,1,93,23:00:00,33,8:00:00,1,3,60,8,98,2,0,,0,,0,12,98,5,5,5,5,9,9,136,136
1000505,0.96622948,1,13,10/16/2019,7,59,1,9,1,1,0,0,0,0,2,2,9,1,1,CA,9,4,2,76,18:45:00,13,3:00:00,1,1,15,8,45,2,1,30,0,,0,2,0,3,2,5,5,6,6,196,196
1000505,1.43714304,1,13,10/16/2019,7,59,1,9,1,1,0,0,0,0,2,2,9,1,1,CA,9,4,2,76,18:45:00,13,3:00:00,1,1,15,8,45,2,1,30,0,,0,2,0,3,2,5,5,6,6,196,196
1000515,0.700528163,2,55,10/16/2019,3,43,1,14,1,1,0,0,0,0,1,4,14,1,0,CA,9,2,3,89,22:00:00,25,6:00:00,1,2,5,7,55,1,7,120,3,75,0,5,98,2,7,6,6,2,2,205,205
1000515,1.361699442,2,55,10/16/2019,3,43,1,14,1,1,0,0,0,0,1,4,14,1,0,CA,9,2,3,89,22:00:00,25,6:00:00,1,2,5,7,55,1,7,120,3,75,0,5,98,2,7,6,6,2,2,205,205
1000519,0.566903036,1,23,10/16/2019,5,74,1,11,5,1,0,0,0,0,2,2,13,3,1,FL,5,3,1,91,22:30:00,29,7:00:00,1,0,0,8,30,2,1,120,0,,0,12,0,6,6,6,6,2,2,300,300
1000519,0.792985622,1,23,10/16/2019,5,74,1,11,5,1,0,0,0,0,2,2,13,3,1,FL,5,3,1,91,22:30:00,29,7:00:00,1,0,0,8,30,2,1,120,0,,0,12,0,6,6,6,6,2,2,300,300
1000523,0.704819674,1,7,10/16/2019,6,55,1,11,1,2,0,0,0,0,2,2,14,1,1,ID,8,3,2,1,0:00:00,27,6:30:00,1,2,10,6,20,2,0,,0,,0,15,98,6,6,5,5,6,6,200,200
1000523,1.063866674,1,7,10/16/2019,6,55,1,11,1,2,0,0,0,0,2,2,14,1,1,ID,8,3,2,1,0:00:00,27,6:30:00,1,2,10,6,20,2,0,,0,,0,15,98,6,6,5,5,6,6,200,200
1000528,1.598170374,1,25,10/16/2019,6,74,1,12,5,1,0,0,0,0,2,2,14,1,1,OR,9,3,3,3,0:30:00,34,8:15:00,1,2,10,7,50,1,4,20,0,,0,13,30,2,6,5,5,11,11,215,215
